"Nº";"Área";"Caso de teste";"Passos";"Resultado esperado";"Status (OK/Falhou)";"Observação";"Print/Evidência";"Responsável";"Data"
"1";"Autenticação";"Cadastro como Inquilino";"Abrir /auth → Sou Inquilino → preencher nome, e-mail real novo e senha forte → Criar conta";"Conta criada; e-mail de confirmação chega; papel inquilino";"";"";"";"";""
"2";"Autenticação";"Cadastro como Proprietário";"Abrir /auth → Sou Proprietário → outro e-mail real novo → Criar conta";"Conta criada; e-mail de confirmação chega; papel proprietário";"";"";"";"";""
"3";"Autenticação";"E-mail já cadastrado";"Tentar criar conta com um e-mail já usado";"Mensagem clara 'Este e-mail já possui uma conta…' (não erro genérico); não cria duplicado";"";"";"";"";""
"4";"Autenticação";"Senha incorreta";"Login com e-mail válido e senha errada";"'E-mail ou senha incorretos.' (não revela se o e-mail existe)";"";"";"";"";""
"5";"Autenticação";"E-mail não cadastrado";"Login com e-mail que nunca foi cadastrado";"Mesma mensagem neutra do caso 4 (anti-enumeração)";"";"";"";"";""
"6";"Autenticação";"Login antes de confirmar";"Criar conta e tentar entrar sem confirmar o e-mail";"Mensagem pedindo para confirmar o e-mail; não entra";"";"";"";"";""
"7";"Autenticação";"Recuperar senha";"Esqueci minha senha → e-mail → abrir link → definir nova senha";"E-mail chega; abre 'Criar nova senha'; nova funciona, antiga não; link não reutilizável";"";"";"";"";""
"8";"Fechamento/Garantia";"Caução padrão + proteção + regra de ouro";"Fechamento → verificação → etapa Garantia";"Caução já vem selecionada; seção 'Como funciona a sua proteção' e regra de ouro visíveis";"";"";"";"";""
"9";"Fechamento/Garantia";"Seleção única";"Selecionar Título depois de Caução";"Escolher Título desmarca Caução (só uma garantia marcada)";"";"";"";"";""
"10";"Fechamento/Garantia";"Garantidor digital 'Em breve'";"Tentar selecionar o garantidor digital";"Aparece como 'Em breve' e NÃO é selecionável (flag desligada)";"";"";"";"";""
"11";"Fechamento/Caução";"Caução flexível à vista x parcelado";"No sub-fluxo da caução, alternar À vista e Parcelado";"Mostra valor da parcela; deixa claro que o dinheiro vai para conta vinculada/emissor — nunca para a plataforma";"";"";"";"";""
"12";"Fechamento/Serviços";"Aqui Resolve ativa e opcional";"Avançar para a etapa Serviços";"Assistência 24h e Plano de manutenção como 'Disponível'; dá para avançar sem marcar (opcional)";"";"";"";"";""
"13";"Reembolso";"Vistoria de saída + desconto";"Abrir Reembolsos → registrar vistoria → adicionar desconto (ex.: 300)";"O 'valor a devolver' diminui pelo desconto; detalhamento visível";"";"";"";"";""
"14";"Reembolso";"Notificar e registrar prazo";"Clicar 'Notificar partes e registrar prazo'";"Aparece a data limite (30 dias após entrega das chaves)";"";"";"";"";""
"15";"Reembolso";"Comprovante e status";"Clicar 'Gerar comprovante'";"Status 'reembolso registrado'; texto diz que o pagamento é feito pelo locador e a plataforma não transfere valores";"";"";"";"";""
"16";"Reembolso";"Aviso de devolução em dobro";"Observar o fluxo de reembolso";"Aviso honesto de que atraso pode gerar devolução em dobro (responsabilidade do locador)";"";"";"";"";""
"17";"Cadastro de imóvel";"Modalidades de garantia aceitas";"Meus imóveis → Novo anúncio → preferências";"Seleção de caução/título/garantidor + aviso de que é só preferência (não muda o caminho do dinheiro)";"";"";"";"";""
"18";"Papéis";"Admin x Inquilino";"Entrar com dtrodovalho40@gmail.com e depois com danieltomazrodovalho@gmail.com";"Admin/proprietário vê área de admin; inquilino vê só inquilino";"";"";"";"";""
